restaurant,sensitiment_score
장수식당,"(67.0, 6.0, 0.08955223880597014)"
장지녕 간장게장,"(72.0, 21.0, 0.2916666666666667)"
장천,"(36.0, 9.0, 0.25)"
장칼국수보쌈,"(31.0, 6.0, 0.1935483870967742)"
재성이네코다리찜&전골,"(29.0, 3.0, 0.10344827586206896)"
쟈니덤플링,"(92.0, 29.0, 0.31521739130434784)"
정가네지짐이,"(44.0, 6.0, 0.13636363636363635)"
정성손칼국수,"(93.0, 16.0, 0.17204301075268819)"
제이스아메리칸,"(24.0, 3.0, 0.125)"
제주도초밥,"(53.0, 13.0, 0.24528301886792453)"
졍동국시,"(73.0, 16.0, 0.2191780821917808)"
조박사토종순대국,"(72.0, 3.0, 0.041666666666666664)"
종로불돼지,"(64.0, 18.0, 0.28125)"
죠티레스토랑,"(219.0, 32.0, 0.1461187214611872)"
주,"(115.0, 31.0, 0.26956521739130435)"
중림장설렁탕,"(133.0, 20.0, 0.15037593984962405)"
지리산어탕국수 합정점,"(100.0, 17.0, 0.17)"
진아네 떡볶이,"(30.0, 6.0, 0.2)"
진옥화할매닭볶음탕,"(41.0, 15.0, 0.36585365853658536)"
진주집,"(104.0, 28.0, 0.2692307692307692)"
쭈꾸미랑순두부,"(45.0, 4.0, 0.08888888888888889)"
쭈꾸미술관,"(18.0, 4.0, 0.2222222222222222)"
쭈먹,"(35.0, 4.0, 0.11428571428571428)"
차만다,"(100.0, 25.0, 0.25)"
차이치,"(92.0, 23.0, 0.25)"
찬양집,"(140.0, 40.0, 0.2857142857142857)"
참치왕 양승호,"(87.0, 14.0, 0.16091954022988506)"
창성옥,"(148.0, 25.0, 0.16891891891891891)"
창수린,"(83.0, 25.0, 0.30120481927710846)"
창신육회 본점,"(86.0, 25.0, 0.29069767441860467)"
창화당,"(189.0, 32.0, 0.1693121693121693)"
천이오겹살,"(126.0, 4.0, 0.031746031746031744)"
천진영감,"(86.0, 26.0, 0.3023255813953488)"
천하보쌈,"(134.0, 38.0, 0.2835820895522388)"
청와옥,"(108.0, 12.0, 0.1111111111111111)"
청학동부침개 마포본점,"(115.0, 36.0, 0.3130434782608696)"
최루탄해장라면 훼드라,"(11.0, 2.0, 0.18181818181818182)"
춘천면옥,"(16.0, 7.0, 0.4375)"
충무로쭈꾸미불고기 충무로본점,"(158.0, 32.0, 0.20253164556962025)"
충무집,"(109.0, 31.0, 0.28440366972477066)"
츄리츄리시칠리안식당,"(208.0, 34.0, 0.16346153846153846)"
츠키젠,"(95.0, 28.0, 0.29473684210526313)"
카라멘야,"(102.0, 14.0, 0.13725490196078433)"
카오카무,"(43.0, 26.0, 0.6046511627906976)"
카와카츠,"(136.0, 21.0, 0.15441176470588236)"
카쿠시타,"(62.0, 13.0, 0.20967741935483872)"
카토멘,"(55.0, 14.0, 0.2545454545454545)"
코브라파스타클럽,"(35.0, 10.0, 0.2857142857142857)"
타코앤칠리,"(56.0, 3.0, 0.05357142857142857)"
